Country,Status,Date,Centre ID,Center,Verified,Type,Activity,Org,Capacity (N),Equipment (R.A.G),Staff (N),Doctors,Nurses,Isolation Facility,PPE,Burial Site,Water,Power,Comm.,Date open,Date closed,Province,Adm1 ID,District,Adm2 ID,Chiefdom,Place,Lat,Long,Address,Clinic Website,Location in OSM,Notes,Source of info,Old ID,Source link
Sierra Leone,Open,2012,HF0001,Diamei ,Yes,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Diamei village ,7.4333416,-11.6609376,,,,"lat long appears to be for ""Hamlet Diamei, Pujehun District, Southern Province, Sierra Leone"" though this entry suggests Eastern district. Map location for Dama chiefdom does not appear to correspond with this location.  (perhaps this is another Diamei)  OSmaps suggested (momentarily? that the location at these coordinates might also be known by the name Diamein). Could also be ",,,
Sierra Leone,Open,2012,HF0002,Gao ,Y - Valeria,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Gao village ,7.7150446,-11.1883197,,,,"OSM name ""Gahun""",SL-MOH,,
Sierra Leone,Open,2012,HF0003,Geima ,Y- Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Geima town ,8.0705982,-11.234096,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0004,Konjo ,Y- Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Konjo Village ,8.344818,-11.4683428,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0005,Kornia  ,Yes,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Kornia village ,7.866130397,-11.07194375,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0006,Kpandebu ,Y - Valeria,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Kpandebu town,7.75539,-11.192719,,,,"OSM name ""Penbadu, Kpandebu on poll district map",SL-MOH,,
Sierra Leone,Open,2012,HF0007,Lelima ,Y- Greg,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,lelima village ,8.0597283,-11.1970501,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0008,Loppa ,Y-Valeria,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Loppa village ,7.675492,-11.243168,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0009,Majihun ,Y- Greg,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Majihun Village ,7.8481916,-11.117789,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0010,Patama,Y- Greg,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Patama Village ,8.106136,-11.206232,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0011,Tawahun ,Y- Greg,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Tawahun village ,7.8645679,-11.0284201,,,,"located on district boundary, general location is similar to chiefdom pam",SL-MOH,,
Sierra Leone,Open,2012,HF0012,Tokpombu ,Y- Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dama,Tokpombu village ,7.821784,-11.0114559,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0013,Dodo,Y - Stuart,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dodo,Dodo town ,7.81632,-10.851883,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0014,Guala,Y - Stuart,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dodo,Guala village ,8.397992,-10.978157,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0015,Kundorma,Y - Valeria,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dodo,Kundorma village ,8.3112594,-11.237645,,,,"OSM name ""Kundoma""",SL-MOH,,
Sierra Leone,Open,2012,HF0016,Mbowohun,Y - Valeria,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Dodo,Mbowohun Village ,8.1059905,-11.212988,,,,"OSM name ""Jagbwema"", Mbowohun on poll district map",SL-MOH,,
Sierra Leone,Open,2012,HF0017,Belebu ,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Belebu Village ,7.6046903,-11.0406959,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0018,Fayeima,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Fayeima Village,,,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0019,Geigbwema,Y- Greg,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Gegbwema Village ,7.579722,-11.154167,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0020,Gorahun,Yes,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Gorahun Towm ,7.4643645,-11.2394381,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0021,Jao,Y - Stuart,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Jao village (Jaomahun),8.4817021,-11.5302489,,,,https://docs.google.com/spreadsheets/d/14vWir3seXqx9EbuQPDH-YQ8Ja0f-FMWc77P8pkmV3WA/edit#gid=1936738899,SL-MOH,,
Sierra Leone,Open,2012,HF0022,Joru ,Y- Greg,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Joru town,7.6916174,-11.0550025,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0023,Kokoru,Y- Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Kokoru Village ,7.6316923,-11.117782,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0024,Mano Njegbla,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Mano Njegbla Village ,7.6403863,-11.0294627,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0025,Mendekelema,y-Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Mendekelema Village ,7.763239,-10.977305,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0026,Ngeiwahun,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Ngeiwahun Village ,7.6151007,-11.0815531,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0027,Perrie,Y - Valeria,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Perrie Village ,7.661389,-11.079664,,,,"OSM name ""Peri""",SL-MOH,,
Sierra Leone,Open,2012,HF0028,Sandaru ,Yes,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Sandaru Village ,7.7694129,-11.0415786,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0029,Sembehun,Y - Valeria,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Sembehun village ,7.7290972,-10.9602279,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0030,Tikonko,Yes,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Tikonko village ,7.686,-11.1415705,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0031,Venima,y-Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gaura,Venima vilage ,8.3126788,-11.0574425,,,,"district matches, ",SL-MOH,,
Sierra Leone,Open,2012,HF0032,Bambara Kaima,y-Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gorama Mende,Bambara kaima Village ,8.31667,-11.35,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0033,Konta,Y- Greg,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gorama Mende,Konta village ,8.3828554,-11.3337514,,,,"district matches, general location is similar to chiefdom map",SL-MOH,,
Sierra Leone,Open,2012,HF0034,Mondema,Y - Valeria,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gorama Mende,Momdema Town ,8.4745523,-11.4365981,,,,"OSM name ""Mondema""",SL-MOH,,
Sierra Leone,Open,2012,HF0035,Ngiegboiya,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gorama Mende,Ngeigboiya village ,8.511002756,-11.52060887,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0036,Punduru,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gorama Mende,Punduru Village ,8.4867519,-11.2869891,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0037,Tungei,Y - Valeria,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Gorama Mende,Tungei town ,8.417248,-11.5046483,,,,"OSM name ""Tungie""",SL-MOH,,
Sierra Leone,Open,2012,HF0038,Baoma Oil Mill,Y - Valeria,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Kandu Leppiema,Baoma Oil mil village ,8.0441039,-11.3296562,,,,"OSM name ""Boama"", Boama oil mill on poll station list (n. 2217)",SL-MOH,,
Sierra Leone,Open,2012,HF0039,Deima,Y - Stuart,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Kandu Leppiema,Deima Village ,7.9789347,-11.2589843,,,,Found on OSM,SL-MOH,,
Sierra Leone,Open,2012,HF0040,Gbado,Y - Valeria,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Kandu Leppiema,Gbado village ,8.0076956,-11.2781898,,,,"OSM name ""Bado"", Gbado on poll station list (n. 2205)",SL-MOH,,
Sierra Leone,Open,2012,HF0041,Levuma,Y - Stuart,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Kandu Leppiema,Levuma Town ,7.96883,-11.3108926,,,,Found on OSM,SL-MOH,,
Sierra Leone,Open,2012,HF0042,Sembehun,Y - Stuart,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Kandu Leppiema,Sembehun village ,8.0198571,-11.3271159,,,,Found on OSM,SL-MOH,,
Sierra Leone,Open,2012,HF0043,Baoma Koya,Y - Valeria,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Koya,Baoma Koya Town ,7.55205,-11.302915,,,,"OSM name ""Baoma"", ""Koya Gbundohun, Baoma Town"" on poll station list (n. 2268)",SL-MOH,,
Sierra Leone,Open,2012,HF0044,Bongor,Yes,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Koya,Bongor village ,7.610932081,-11.28977852,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0045,Jui ,Yes,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Koya,Jui village ,7.649218272,-11.30025606,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0046,Nyandehun,Y - Stuart,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Koya,Nyandehun Village ,8.3908236,-11.5060723,,,,Found on OSM,SL-MOH,,
Sierra Leone,Open,2012,HF0047,Serabu,Y - Stuart,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Koya,Serabu Village ,7.6043841,-11.349517,,,,Found on OSM,SL-MOH,,
Sierra Leone,Open,2012,HF0048,Woyama ,Y - Stuart,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Langrama,Woyama village ,7.6919223,-11.4739905,,,,Found on OSM,SL-MOH,,
Sierra Leone,Open,2012,HF0049,Yabaima,Y - Stuart,Health Post,CHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Langrama,yabaima vilage ,7.6401449,-11.477356,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0050,Bomie,Yes,Health Post,MCHP,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Lower Bambara,Bomie section (Tongo Field) ,8.232651771,-11.04646759,,,,,SL-MOH,,
Sierra Leone,Open,2012,HF0051,Foindu,Y - Stuart,Health Centre,CHC,,,,,,,,,,,,,,,Eastern,SL01,Kenema,SL0102,Lower Bambara,Foindu village ,8.1045724,-11.0552172,,,,Found on OSM,SL-MOH,,
